"ID","lat","long","Start","End","winter.duration","cells","NA_dem","NA_northing","NA_nFrostyDays","NA_nonGrowingDays","NA_nDaysFreeze","NA_OG1k"
"Next Creek NCC",49.30214,-116.76106,2012-11-17,2013-03-14,117,29788133,555.5322265625,49.3041648864746,137.862121582031,293.849426269531,13.2090101242065,139.15592956543
"Oxbow Park ",49.01531,-118.34883,2011-12-17,2012-03-14,88,30293203,569.335388183594,49.0125007629395,152.170043945312,292.613739013672,16.2639217376709,123.211402893066
"Peachland roost",49.7772683170609,-119.734094830591,2013-10-23,2014-04-19,178,28964924,486.620513916016,49.779167175293,115.786430358887,286.062591552734,10.7278547286987,143.081405639648
"Reclamation House RL",49.08214,-116.58114,2012-11-17,2013-04-27,161,30177927,533,49.0791664123535,142.908752441406,290.393157958984,13.2504215240479,134.232955932617
"Skaha Cave Hill",49.44906,-119.56121,2012-06-15,2012-08-31,77.5,29542385,679.515014648438,49.4458351135254,143.49333190918,296.237945556641,14.3983535766602,130.268997192383
"Skaha Fortress",49.43707,-119.56755,2012-11-16,2013-03-23,127,29556820,487.441223144531,49.4375,125.990859985352,286.427825927734,11.5515966415405,129.878005981445
"Tahsis Anabat",49.9108028206618,-126.649205890586,2014-10-24,2015-03-01,128,28733119,13.7306699752808,49.9124984741211,61.2100601196289,293.701110839844,3.60103821754456,11.5277290344238
"Telegraph Creek 2015",57.9005342586088,-131.166876344609,2015-10-04,2016-03-20,168,14888452,285.381378173828,57.904167175293,208.464706420898,319.796600341797,44.6651153564453,198.116287231445
"Texada Island",49.7604738955035,-124.568430808021,2015-12-03,2016-03-04,92,28993216,10.4005308151245,49.7625007629395,56.565559387207,287.982421875,3.57843065261841,43.1862182617188
"Tlingit office in Atlin",59.5674182967362,-133.704238148247,2015-10-06,2016-05-02,209,12000948,696.714233398438,59.5708351135254,221.751419067383,333.725738525391,52.8489646911621,192.629867553711
"Tow Hill",54.07445,-131.79941,2014-12-30,2015-03-04,64,21528937,28.5616416931152,54.0708351135254,73.9050445556641,315.186950683594,4.85103416442871,27.2722492218018
"Vanderhoof Butte",53.5796477339301,-124.79028892554,2014-10-18,2015-03-11,144,22381502,926.108520507812,53.5791664123535,220.62873840332,328.158355712891,36.2095642089844,158.39714050293
"Vaseux Lakeshore",49.30116,-119.54312,2013-12-30,2014-03-04,64,29787799,339.266571044922,49.3041648864746,111.95442199707,276.077514648438,10.0032958984375,124.622802734375
