siteName,roughLocation,yearMonitored,zone,northing,easting,lat,long,elevation,description,nWinterFlights,witnerSpecies,firstSpring,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,lastFall,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,LDE,nMaxSpring,LDH,nMaxEmerging,detectorType
Dividend Mine Vicinity 2011,Okanagan,2011,,,,49.01159,-119.49267,,,216,"40K,50K,LowF,HighF,EPFULANO,",18/04/2013,-,-,-,-,22/04/2013,-,23/04/2013,18/04/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2013,-,-,-,-,-,-,7/12/2012,-,-,-,-,9/10/2012,-,11/11/2012,1/12/2012,8/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/12/2012,-,4/10/2012,-,-,-,-,31/03/2013,523,5/10/2012,97,
Frederick Mine DB 2011,Kamloops (ask Doug Burles),2011,,,,50.7575,-120.65658,,,20,"45K,EPFULANO,COTOMYTH,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/12/2011,-,-,-,-,-,2/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/12/2011,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,5,
Lillooet Scallop Roost 2014,near Lillooet,2014,,,,50.82596,-121.87617,,"river, crevice maternity roost",4,"EPFULANO,",15/04/2015,-,-,-,-,15/04/2015,19/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20/04/2015,16/04/2015,19/04/2015,-,-,-,-,4/11/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/11/2014,-,17/10/2014,-,-,-,-,18/04/2015,14,Insufficient Number Recordings,8,
Goldstream Ave Hse Victoria2012,Victoria,2012,,,,48.44611,-123.48572,,,21,"25K,LowF,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/12/2012,-,24/12/2012,-,-,-,-,-,24/12/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/12/2012,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,5,
Trevlac (Calvert) Victoria 2012,Victoria,2012,,,,48.49602,-123.44506,,,3,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/10/2012,-,-,-,-,-,15/10/2012,-,12/10/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,10,
Trevlac (Calvert) Victoria 2013,,2013,,,,48.49602,-123.44506,,,48,"45K,50K,LowF,EPFULANO,",3/03/2014,-,-,-,-,-,-,3/03/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,5,No Fall Bats Recorded,-,
Goldstream Shaft 23 2013,Victoria,No Data Listed,,,,48.46527,-123.54338,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Goldstream Myke Mine 2013,Victoria,2013,,,,48.46577,-123.54322,,,3,"50K,COTO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/11/2013,-,-,-,-,-,-,1/11/2013,-,-,-,-,-,-,-,7/11/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,1,
Goldstream Keens Mine 2012,Victoria,No Data Listed,,,,48.46577,-123.54322,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Goldstream Van Island 2011,Victoria,2011,,,,48.46577,-123.54322,,,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/10/2011,-,23/10/2011,21/10/2011,-,24/10/2011,24/10/2011,23/10/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,21/10/2011,161,
Tahsis Anabat 2014,Tahsis,2014,9U,668778,5531363,,,,coastal river,169,"45K,50K,EPFULANO,COTOMYTH,",6/03/2015,-,-,-,-,-,14/03/2015,13/03/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/03/2015,-,-,-,-,-,-,18/11/2014,-,-,-,-,25/10/2014,24/10/2014,18/11/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/03/2015,128,24/10/2014,11,
Horne Lake 2011,Qualicum Beach,2011,,,,49.34389,-124.73585,,,1,"45K,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,No Fall Bats Recorded,-,
Horne Lake 2012,,2012,,,,49.34389,-124.73585,,,4,"45K,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11/12/2012,-,-,-,-,11/10/2012,11/12/2012,-,-,-,-,24/10/2012,-,-,-,-,-,-,-,-,-,-,-,-,1/11/2012,7/10/2012,-,-,-,-,-,No Spring Bats Recorded,-,10/10/2012,117,
Stanley Park 2014,Vancouver,2014,10 U,489780,5460939,,,,"building,maternity roost",9,"LowF,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10/11/2014,-,-,-,-,-,16/10/2014,19/10/2014,4/11/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10/11/2014,-,-,-,-,-,-,No Spring Bats Recorded,-,18/10/2014,85,
Prince Rupert 2014,,2014,,,,54.3046,-130.33872,,,0,,23/04/2015,-,-,-,-,23/04/2015,-,23/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25/10/2014,-,-,-,22/09/2014,25/10/2014,25/10/2014,28/09/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,5,22/09/2014,439,
Kasiks 2014,Prince Rupert-Terrace,2014,,,,54.29618,-129.3941,,,4,"50K,",18/04/2015,-,-,-,-,21/04/2015,22/04/2015,23/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18/04/2015,-,-,-,-,-,-,14/11/2014,-,-,-,-,-,6/10/2014,14/11/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20/04/2015,189,4/10/2014,13,
Arch Cave 2014,near Port McNeill,No Data Listed,,,,50.42153,-126.8991,,cave,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Dreamtime 2014,near Port McNeill,No Data Listed,,,,50.34805,-126.8576,,cave,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Dreamtime Cave M Davis 2011,,2011,,,,,,,,1,"40K,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/12/2011,-,-,-,-,3/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,1,
Labyrinth Cave Roostlogger2012,Tahsis,2012,,,,49.88447,-126.61232,,,0,,9/05/2013,-,-,-,-,9/05/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/05/2013,42,No Fall Bats Recorded,-,
Tow Hill 2014,Haida Gwaii,2014,,,,54.07445,-131.79941,,,985,"45K,50K,",11/03/2015,-,-,-,-,-,-,11/03/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/12/2014,-,-,-,-,4/10/2014,16/11/2014,30/12/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/03/2015,26,26/09/2014,915,
Terrace - ferry island 2014,Terrace,No Data Listed,,,,54.50113,-128.58145,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Nass Bridge 2014,,2014,,,,55.06196,-129.47214,,,0,,19/04/2015,-,-,-,-,-,-,19/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2015,-,-,-,-,-,-,17/10/2014,-,-,-,-,28/09/2014,6/10/2014,17/10/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/04/2015,1144,28/09/2014,1050,
Bear Lake 2011,Vancouver island,2011,,,,48.81767,-124.13,,,2,"45K,EPFULANO,",22/04/2012,-,-,-,-,22/04/2012,9/05/2012,-,-,-,6/05/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,15/05/2012,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13/05/2012,68,No Fall Bats Recorded,-,
Macmillan Cathedral Grove 2013,"Port Alberni, Weymer P Park",2012,,,,49.29138,-124.66221,,,19,"45K,50K,EPFULANO,COTOMYTH,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/12/2012,-,-,-,-,-,29/12/2012,23/12/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26/12/2012,26/12/2012,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,7,
Vignette Cave M Davis2011,,2011,,,,49.32397,-124.76492,,,1,"50K,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/11/2011,-,-,-,-,-,-,29/11/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,1,
Kokanee Glacier Mine 2013,Nelson,No Data Listed,,,,49.73073,-117.15161,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Old Tom Moore mine 2012,Retallick,2012,,,,50.00388,-117.20313,,mine,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8/10/2012,-,-,-,-,6/10/2012,8/10/2012,6/10/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,28/09/2012,25,
Rambler Caribou Mine 2012,Retallick,No Data Listed,,,,50.01006,-117.1972,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Bridal Lake Stagleap Park 2011,Salmo-Creston,2009,,,,49.0617,-117.04029,,,0,,12/05/2010,-,-,-,-,14/05/2010,15/05/2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12/05/2010,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2010,72,No Fall Bats Recorded,-,
Great Britain Meadow Mtn 2012,north end of Kootenay LK,No Data Listed,,,,50.24732,-117.12625,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Fang Cave,SE of Prince George,No Data Listed,,,,54.098,-121.36032,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Casino Adit 2011,Trail,2011,,,,49.07792,-117.65042,,,2,"MYYUMYCA,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25/11/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25/11/2011,-,No Spring Bats Recorded,-,Insufficient Number Recordings,2,
Cummings Mine Adit 2012,Boswell-Sanca,2012,,,,49.41898,-116.72759,,,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27/09/2012,-,-,27/09/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,1,
Gillians Meadow 2009,Meadow Creek,2008,,,,50.18683,-116.93802,,,105,"50K,LowF,HighF,EPFULANO,",1/05/2009,-,-,-,-,15/05/2009,-,15/05/2009,10/05/2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/05/2009,-,-,-,-,-,-,18/11/2012,-,-,-,-,8/10/2012,-,5/11/2012,5/11/2012,18/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/09/2012,-,-,-,-,-,-,14/04/2009,474,28/10/2012,142,
iron creek 2014,Castlegar,2014,,,,49.29425,-117.60945,,trail near talus,34,"HighF,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17/12/2014,-,-,-,-,-,-,-,-,17/12/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,26/11/2014,13,
Boulder Crk CVWMA2012,Creston/CVWMA,2012,,,,49.28375,-116.65735,,,59,"50K,HighF,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/12/2012,-,-,-,-,15/10/2012,-,5/12/2012,23/10/2012,5/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/11/2012,-,-,-,-,-,-,No Spring Bats Recorded,-,12/10/2012,805,
Nelway Gated Mine 2010,Nelway,2009,,,,49.06913,-117.28391,,,20,"30K,COTO,MYCA,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,No Fall Bats Recorded,-,
Next Creek NCC 2012,Creston/CVWMA,2012,,,,49.30214,-116.76106,,,3,,1/04/2013,20/04/2013,-,-,-,20/04/2013,20/04/2013,20/04/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/04/2013,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/03/2013,1076,Insufficient Number Recordings,3,
QueenVictoriaMine 2014,"Beasly, near Nelson",2013,,,,49.49352,-117.4496,,,2122,"40K,45K,50K,LowF,HighF,EPFULANO,COTOMYEV,bat,",3/03/2014,-,-,-,-,24/03/2014,18/03/2014,25/03/2014,10/03/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/03/2014,-,-,-,-,-,3/03/2014,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/03/2014,76,No Fall Bats Recorded,-,
QueenVictoriaMine 2009,,2009,,,,49.49352,-117.4496,,,1788,"40K,50K,LowF,HighF,EPFULANO,COTOMYEV,bat,",5/03/2010,-,-,-,-,5/03/2010,-,5/03/2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/12/2009,-,-,-,-,30/12/2009,-,30/12/2009,22/12/2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16/12/2009,-,-,25/12/2009,-,-,-,5/03/2010,306,16/12/2009,98,
QueenVictoriaMine 2010,,2010,,,,49.49352,-117.4496,,,5427,"40K,45K,50K,LowF,HighF,EPFULANO,COTOMYEV,bat,",1/03/2011,-,-,-,-,-,-,1/03/2011,1/03/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/03/2011,-,-,1/03/2011,-,-,-,30/12/2010,-,-,-,-,29/12/2010,1/12/2010,30/12/2010,30/12/2010,30/12/2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/12/2010,-,-,28/12/2010,-,-,26/12/2010,1/03/2011,22,10/12/2010,1444,
QueenVictoriaMine 2011,,2011,,,,49.49352,-117.4496,,,3604,"40K,45K,50K,LowF,HighF,EPFULANO,COTOMYEV,",7/05/2012,-,-,-,-,15/05/2012,12/05/2012,15/05/2012,15/05/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/05/2012,-,-,7/05/2012,-,-,-,30/12/2011,-,-,-,-,29/12/2011,-,30/12/2011,30/12/2011,30/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/12/2011,-,-,-,-,-,-,9/03/2012,307,21/11/2011,344,
REMAC mine 2013,Nelway,2013,,,,49.0239,-117.35441,,,1612,"25K,40K,45K,50K,LowF,HighF,EPFULANO,",25/03/2014,-,31/03/2014,-,-,6/04/2014,25/03/2014,11/04/2014,10/04/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10/04/2014,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12/03/2014,755,No Fall Bats Recorded,-,
REMAC Mine 2012,,2012,,,,49.0239,-117.35441,,,3312,"25K,40K,45K,50K,LowF,HighF,EPFULANO,",25/03/2013,-,-,-,-,20/04/2013,25/03/2013,18/04/2013,19/04/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/04/2013,-,-,-,-,-,-,30/12/2012,-,1/12/2012,-,-,22/12/2012,21/11/2012,30/12/2012,24/12/2012,30/12/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/12/2012,19/10/2012,-,-,-,-,-,30/03/2013,710,4/11/2012,448,
REMAC Mine 2011,,2011,,,,49.0239,-117.35441,,,1699,"45K,50K,LowF,HighF,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11/12/2011,-,-,-,-,17/10/2011,-,11/12/2011,10/12/2011,11/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/12/2011,-,-,-,-,-,-,No Spring Bats Recorded,-,8/11/2011,258,
