siteName,roughLocation,yearMonitored,zone,northing,easting,lat,long,elevation,description,nWinterFlights,witnerSpecies,firstSpring,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,lastFall,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,LDE,nMaxSpring,LDH,nMaxEmerging,detectorType
Mary Hill 2012,Victoria,2012,10 U ,459353,5354800,,,110,,146,"40K,45K,50K,EPFU,COTOMYTH,",31/03/2013,-,-,3/05/2013,4/05/2013,4/05/2013,11/05/2013,11/05/2013,-,-,5/05/2013,3/05/2013,31/03/2013,-,-,-,31/03/2013,-,-,-,-,-,-,3/05/2013,11/05/2013,11/05/2013,-,-,-,-,14/04/2013,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/05/2013,422,No Fall Bats Recorded,-,
Telegraph Creek 2015,Telegraph Creek,2015,09 V,371576,6419694,,,200,,0,,20/03/2016,-,-,-,-,20/03/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/10/2015,-,2/10/2015,7/10/2015,10/10/2015,30/10/2015,6/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,1,5/09/2015,34,SM2BAT - plus (ZC model)
Cameron LK near Cathedral MD12,Port Alberni-Qualicum Beach,2012,10 U ,384185,5461117,,,214,,14,"40K,50K,HighF,",7/03/2013,-,-,-,-,7/03/2013,-,7/03/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8/03/2013,110,No Fall Bats Recorded,-,
peachland roost 2012,Peachland,2012,11 U,303164,5517454,,,350,,5,"MYYUMYCA,",19/03/2013,20/03/2013,-,-,-,20/03/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/03/2013,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/03/2013,16,No Fall Bats Recorded,-,Anabat in 2013 then RL in subsequent years
Peachland roost (2) 2013,,2013,11 U,303164,5517454,,,,,0,,20/04/2014,-,-,20/04/2014,-,5/05/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23/10/2013,-,-,-,-,23/10/2013,-,20/10/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/04/2014,109,Insufficient Number Recordings,4,
Throne (Haynes Lease) 2011,Osooyos,2011,11 U,316195,5441087,49.09515,-119.51788,359,,282,"50K,LowF,HighF,EPFULANO,",20/04/2012,-,-,-,-,15/05/2012,12/05/2012,15/05/2012,15/05/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/05/2012,15/05/2012,15/05/2012,20/04/2012,-,-,22/04/2012,28/12/2011,-,-,-,-,-,-,27/12/2011,17/12/2011,17/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28/12/2011,-,-,-,-,-,-,6/05/2012,662,16/12/2011,12,
Throne (Haynes Lease) 2013,,2013,11 U,316195,5441087,49.09515,-119.51788,,,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28/10/2013,-,-,-,-,21/10/2013,-,28/10/2013,20/10/2013,23/10/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/10/2013,17/10/2013,5/10/2013,-,-,-,-,No Spring Bats Recorded,-,12/10/2013,278,
Throne (Haynes Lease) 2012,,2012,11 U,316195,5441087,49.09515,-119.51788,,,69,"50K,",12/03/2013,-,-,-,-,15/03/2013,-,17/03/2013,12/03/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/03/2013,-,-,-,-,-,-,26/10/2012,-,-,-,-,9/10/2012,22/09/2012,19/10/2012,26/10/2012,19/10/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/10/2012,5/10/2012,-,-,-,-,-,15/03/2013,61,28/09/2012,394,
Darcus (Skaha Cave) 2012,Penticton,2012,11 U,315018,5463903,,,393,,0,,1/04/2013,-,-,-,-,3/04/2013,-,9/04/2013,1/04/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/04/2013,-,2/04/2013,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/03/2013,563,No Fall Bats Recorded,-,SM2BAT
Darcus (Skaha Cave) (2) 2013,,2013,11 U,315018,5463903,,,,,68,"LowF,EPFULANO,",11/03/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/04/2014,-,-,-,-,-,11/03/2014,26/12/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26/12/2013,-,-,-,-,-,18/12/2013,6/04/2014,491,5/10/2013,74,
Churn Creek 2015,Williams Lake,2015,10 U,549176,5708303,,,394,,4,"25K,COTO,",9/03/2016,-,24/04/2016,-,21/04/2016,24/04/2016,-,-,-,-,-,-,-,-,16/04/2016,9/03/2016,-,-,-,-,-,-,-,-,29/03/2016,-,-,-,-,-,-,24/12/2015,-,24/12/2015,-,12/10/2015,28/10/2015,-,-,-,-,-,-,-,-,-,4/11/2015,-,29/09/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2016,313,29/09/2015,499,SM2BAT - plus (ZC model)
