ID,Date,Date1,Species,Capture Time,Sex,Age,Mass,Forearm,Fat,Lean,Free_Water,Total_Body_Water,Season,Tibia Length,Repro Status,State,County,Site Name,Comments
AG-MYLU-80,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.77,36.98,1.96,6.195,0.02,5.13,,,,NY,,Graphite,assumed adult
AG-MYLU-81,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.18,38.75,2.095,5.6,0.47,3.875,,,,NY,,Graphite,assumed adult
AG-MYLU-82,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.14,39.35,2.437,6.03,0.05,5.077,,,,NY,,Graphite,assumed adult
AG-MYLU-83,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,9.01,38.51,2.22,6.34,0.01,5.07,,,,NY,,Graphite,assumed adult
AG-MYLU-84,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.13,37.97,2.43,6.1,0.085,4.92,,,,NY,,Graphite,assumed adult
AG-MYLU-85,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,9.26,37.51,3.135,5.605,0.035,4.725,,,,NY,,Graphite,assumed adult
AG-MYLU-86,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.4,38.92,2.22,6.54,0,5.345,,,,NY,,Graphite,assumed adult
AG-MYLU-87,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.66,38.77,2.345,5.805,0.045,4.835,,,,NY,,Graphite,assumed adult
AG-MYLU-88,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.36,37.57,3.195,5.735,0.095,4.72,,,,NY,,Graphite,assumed adult
AG-MYLU-89,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,10.905,38.68,4.29,6.04,0.085,5.345,,,,NY,,Graphite,assumed adult
AG-MYLU-90,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,9.09,39.22,2.385,6.07,0.025,5.01,,,,NY,,Graphite,assumed adult
AG-MYLU-91,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,10.61,37.33,3.545,6.425,0.075,5.345,,,,NY,,Graphite,assumed adult
AG-MYLU-92,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.94,37.96,2.815,5.57,0.145,4.205,,,,NY,,Graphite,assumed adult
AG-MYLU-93,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.91,38,2.085,6.11,0.03,5.005,,,,NY,,Graphite,assumed adult
AG-MYLU-94,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.34,38,1.84,5.8,0.02,4.265,,,,NY,,Graphite,assumed adult
AG-MYLU-95,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,9.83,39.45,2.935,6.18,0.13,4.835,,,,NY,,Graphite,assumed adult
AG-MYLU-96,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,10.83,40.15,3.57,6.77,0.15,5.66,,,,NY,,Graphite,assumed adult
AG-MYLU-97,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.64,36.84,3.245,5.865,0.045,4.705,,,,NY,,Graphite,assumed adult
AG-MYLU-98,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.95,38.31,3.255,6.09,0.135,4.745,,,,NY,,Graphite,assumed adult
AG-MYLU-99,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.45,37.78,3.03,5.825,0,4.375,,,,NY,,Graphite,assumed adult
AG-MYLU-41,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,8.08,38.23,2.32,5.155,0.015,4.375,,,,NY,,Barton Hill,assumed adult
AG-MYLU-42,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,8.24,36.56,2.02,5.35,0.03,4.4,,,,NY,,Barton Hill,assumed adult
AG-MYLU-43,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,6.9,37.75,1.41,4.885,0.705,3.635,,,,NY,,Barton Hill,assumed adult
AG-MYLU-44,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,8.58,38.99,2.385,5.7,0.31,4.495,,,,NY,,Barton Hill,assumed adult
AG-MYLU-45,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,8.65,39.85,1.745,5.54,0.36,4.075,,,,NY,,Barton Hill,assumed adult
AG-MYLU-46,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,10.51,38.06,2.97,6.675,0.14,4.78,,,,NY,,Barton Hill,assumed adult
AG-MYLU-47,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,9.79,38.71,2.795,6.12,0.05,4.93,,,,NY,,Barton Hill,assumed adult
AG-MYLU-48,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,9.87,38.37,3.17,6.03,0.07,5.145,,,,NY,,Barton Hill,assumed adult
AG-MYLU-49,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,8.06,38.27,1.815,5.445,0.105,4.475,,,,NY,,Barton Hill,assumed adult
AG-MYLU-50,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,8.42,36.88,1.8,4.68,0.065,3.705,,,,NY,,Barton Hill,assumed adult
AG-MYLU-51,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,8.28,38.48,1.745,5.57,0.355,3.955,,,,NY,,Barton Hill,assumed adult
AG-MYLU-52,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,8.62,38.72,2.28,5.685,0.035,4.705,,,,NY,,Barton Hill,assumed adult
AG-MYLU-53,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,8.41,38.18,1.965,5.325,0.075,4.23,,,,NY,,Barton Hill,assumed adult
AG-MYLU-54,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,10.09,36.92,3.385,5.59,0.18,4.5,,,,NY,,Barton Hill,assumed adult
AG-MYLU-55,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,7.91,37.25,1.745,4.67,0.005,3.97,,,,NY,,Barton Hill,assumed adult
AG-MYLU-56,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,10.11,40.16,3.18,6.305,0.03,5.025,,,,NY,,Barton Hill,assumed adult
AG-MYLU-57,11.6.2015,6-Nov-15,Myotis lucifugus,,M,A,8.12,38.66,1.945,5.265,0.015,4.55,,,,NY,,Barton Hill,assumed adult
AG-MYLU-58,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,7.46,38.4,1.135,5.09,0.01,4.06,,,,NY,,Barton Hill,assumed adult
AG-MYLU-59,11.6.2015,6-Nov-15,Myotis lucifugus,,F,A,9.19,37.58,2.625,6.065,0.655,4.585,,,,NY,,Barton Hill,assumed adult
AG-MYLU-160,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,6.24,35.69,0.965,4.765,0.035,4.105,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-161,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,7.87,37.57,1.705,5.565,0,4.59,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-162,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,6.72,37.34,1.03,5.11,0.03,4.43,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-163,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,7.74,36.93,1.615,5.435,0.065,4.69,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-164,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,6.74,38.85,0.895,5.185,0.045,4.395,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-165,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.53,38.26,1.81,5.09,0.02,4.36,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-166,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.38,37.27,1.64,5.115,0.045,4.11,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-167,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.2,37.81,1.475,5.11,0.025,4.38,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-168,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.3,37.65,1.645,5.175,0,4.5,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-169,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,6.86,37.24,1.355,4.96,0.065,4.155,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-170,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.56,37.94,1.415,5.365,0.14,4.635,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-171,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.13,37.73,1.22,5.345,0,4.395,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-172,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.8,38.59,1.395,5.775,0.055,4.695,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-173,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,8.2,37.71,1.85,5.725,0.025,4.65,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-174,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,6.97,38.26,0.915,5.49,0,4.545,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-175,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,8.26,38.66,1.85,5.79,0.055,4.675,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-176,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,8.39,39.37,1.945,5.815,0.015,4.74,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-177,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.67,35.75,1.36,5.73,0,4.78,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-178,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.2,37.58,1.34,5.25,0.055,4.365,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-179,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,6.8,36.56,1.315,4.865,0,4.005,,,,NY,,Williams Hotel,"assumed adult, actually Dec 17, 2015?"
AG-MYLU-200,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,8.16,36.95,1.915,5.73,0.01,4.53,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-201,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,9.21,39.34,2.315,6.395,0.01,4.935,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-202,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,8.6,37.91,2.525,5.625,0.07,4.13,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-203,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,8.42,37.9,1.695,6.145,0.025,4.945,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-204,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,9.38,35.6,2.49,6.345,0,5.18,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-205,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,11.51,38.56,4.195,6.755,0.035,5.755,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-206,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,8.94,39.06,2.415,5.99,0.03,5.075,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-207,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.86,35.66,1.675,5.66,0,4.515,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-208,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,8.76,35.45,2.615,5.655,0.04,4.74,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-209,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7,36.63,1.68,4.82,0.02,4.1,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-210,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.81,36.3,1.785,5.6,0.005,4.285,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-211,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,8.07,37.51,2.08,5.46,0.015,4.585,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-212,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,8,36.2,1.84,5.67,0.05,4.65,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-213,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,9.1,36.63,2.845,5.765,0.02,4.785,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-214,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.75,35.56,2.055,5.265,0.08,4.355,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-215,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,6.72,35.67,1.54,4.78,0.035,3.955,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-216,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,9.18,39.55,2.67,5.97,0.055,4.8,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-217,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.58,35.21,1.57,5.5,0.03,4.005,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-218,11.13.2015,13-Nov-15,Myotis lucifugus,,M,A,7.4,37.9,1.67,5.285,0.04,4.26,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-219,11.13.2015,13-Nov-15,Myotis lucifugus,,F,A,10.22,39.45,3.1,6.6,0.01,5.15,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-1,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,6.42,35.69,0.955,5.095,0,4.15,,,,VT,,Aeolus,assumed adult
AG-MYLU-10,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,7.52,36.99,1.94,4.935,0.01,4.055,,,,VT,,Aeolus,assumed adult
AG-MYLU-11,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,9,39.73,2.605,5.85,0.05,4.88,,,,VT,,Aeolus,assumed adult
AG-MYLU-12,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,7.97,39.13,2.035,5.355,0.07,4.42,,,,VT,,Aeolus,assumed adult
AG-MYLU-13,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,8.87,37.45,2.66,5.6,0.075,4.68,,,,VT,,Aeolus,assumed adult
AG-MYLU-14,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,9.1,39.57,2.595,5.91,0.04,4.92,,,,VT,,Aeolus,assumed adult
AG-MYLU-15,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,10.2,40.6,3.065,6.36,0.005,5.305,,,,VT,,Aeolus,assumed adult
AG-MYLU-16,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,7.98,39.01,2.125,5.28,0.035,4.395,,,,VT,,Aeolus,assumed adult
AG-MYLU-17,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,7.18,39.87,1.42,5.18,0.02,4.27,,,,VT,,Aeolus,assumed adult
AG-MYLU-18,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,8.24,37.85,2.335,5.29,0.01,4.46,,,,VT,,Aeolus,assumed adult
AG-MYLU-19,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,7.42,39.45,1.275,5.61,0.08,4.735,,,,VT,,Aeolus,assumed adult
AG-MYLU-2,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,9.24,35.79,2.96,5.65,0.04,4.635,,,,VT,,Aeolus,assumed adult
AG-MYLU-20,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,9.37,39.18,2.585,6.19,0.065,5.115,,,,VT,,Aeolus,assumed adult
AG-MYLU-3,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,10.36,37.91,3.35,6.295,0.04,5.23,,,,VT,,Aeolus,assumed adult
AG-MYLU-4,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,8.51,36.93,1.73,6.105,0.09,5.05,,,,VT,,Aeolus,assumed adult
AG-MYLU-5,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,7.47,37.87,1.505,5.385,0.1,4.435,,,,VT,,Aeolus,assumed adult
AG-MYLU-6,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,6.82,35.51,1.22,5.01,0.05,4.155,,,,VT,,Aeolus,assumed adult
AG-MYLU-7,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,8.19,38.73,2.315,5.31,0.035,4.405,,,,VT,,Aeolus,assumed adult
AG-MYLU-8,11.17.2015,17-Nov-15,Myotis lucifugus,,M,A,7.18,37.62,1.6,5.065,0,4.075,,,,VT,,Aeolus,assumed adult
AG-MYLU-9,11.17.2015,17-Nov-15,Myotis lucifugus,,F,A,7.76,38.61,1.885,5.29,0.02,4.445,,,,VT,,Aeolus,assumed adult
AG-MYLU-120,11.18.2015,18-Nov-15,Myotis lucifugus,,F,A,9.76,37.83,3.165,5.865,0.035,4.915,,,,NY,,Hibernia,assumed adult
AG-MYLU-121,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.77,37.86,2.49,5.725,0.11,4.7,,,,NY,,Hibernia,assumed adult
AG-MYLU-122,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.6,38.66,2.54,5.4,0.025,4.495,,,,NY,,Hibernia,assumed adult
AG-MYLU-123,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,10.28,39.18,3.175,6.26,0.065,5.35,,,,NY,,Hibernia,assumed adult
AG-MYLU-124,11.18.2015,18-Nov-15,Myotis lucifugus,,F,A,9.23,40.88,2.875,5.755,0.06,4.855,,,,NY,,Hibernia,assumed adult
AG-MYLU-125,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,9.32,38.49,2.63,5.97,0.03,4.98,,,,NY,,Hibernia,assumed adult
AG-MYLU-126,11.18.2015,18-Nov-15,Myotis lucifugus,,F,A,8.05,38.59,1.905,5.47,0,4.58,,,,NY,,Hibernia,assumed adult
AG-MYLU-127,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,9.36,36.38,2.9,5.78,0.045,4.86,,,,NY,,Hibernia,assumed adult
AG-MYLU-128,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.47,37.97,1.87,5.91,0,4.99,,,,NY,,Hibernia,assumed adult
AG-MYLU-129,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.36,37.46,1.935,5.66,0.055,4.635,,,,NY,,Hibernia,assumed adult
AG-MYLU-130,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,7.88,37.77,1.99,5.195,0.04,4.125,,,,NY,,Hibernia,assumed adult
AG-MYLU-131,11.18.2015,18-Nov-15,Myotis lucifugus,,F,A,10.43,39.14,3.325,6.48,0.02,5.4,,,,NY,,Hibernia,assumed adult
AG-MYLU-132,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,7.99,37.25,2.405,5.09,0.09,4.33,,,,NY,,Hibernia,assumed adult
AG-MYLU-133,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.15,37.59,1.79,5.735,0,4.745,,,,NY,,Hibernia,assumed adult
AG-MYLU-134,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.53,38.27,1.69,5.925,0,4.935,,,,NY,,Hibernia,assumed adult
AG-MYLU-135,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.96,40.39,2.375,5.79,0.025,4.965,,,,NY,,Hibernia,assumed adult
AG-MYLU-136,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.8,38.68,2.455,5.655,0.07,4.79,,,,NY,,Hibernia,assumed adult
AG-MYLU-137,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,8.79,38.09,2.495,5.625,0,4.75,,,,NY,,Hibernia,assumed adult
AG-MYLU-138,11.18.2015,18-Nov-15,Myotis lucifugus,,F,A,9.1,37.69,2.48,5.96,0.1,5.03,,,,NY,,Hibernia,assumed adult
AG-MYLU-139,11.18.2015,18-Nov-15,Myotis lucifugus,,M,A,7.4,38.52,1.685,5.13,0.06,4.25,,,,NY,,Hibernia,assumed adult
AG-MYLU-220,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,7.04,36.99,1.115,5.365,0.005,4.52,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-221,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,5.99,37.78,0.675,4.805,0,4.11,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-222,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,5.72,37.28,0.73,4.485,0.04,3.55,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-223,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,6.58,38.25,0.82,5.18,0.01,3.955,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-224,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,7,37.65,0.86,5.635,0.04,4.655,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-225,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,6.74,38.4,0.72,5.46,0.01,4.75,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-226,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,6.54,37.06,0.815,5.16,0.035,4.29,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-227,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,6.8,36.77,0.885,5.41,0.065,4.31,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-228,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,6.86,36.17,1.025,5.205,0,4.39,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-229,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,6.18,36.67,0.645,5.04,0.04,4.135,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-230,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,7.7,38.76,1.37,5.65,0.025,4.65,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-231,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,7.77,38.26,1.515,5.7,0.07,4.69,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-232,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,6.3,38.44,0.77,4.89,0.07,4.075,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-233,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,5.43,35.69,0.63,4.215,0.195,3.465,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-234,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,7.05,39.44,0.725,5.61,0,4.75,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-235,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,7.7,38.39,1.25,5.915,0,4.875,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-236,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,7.83,38.89,1.275,5.895,0.04,5.1,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-237,2.16.2016,16-Feb-16,Myotis lucifugus,,M,A,7.02,39.18,1.18,5.35,0.03,4.365,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-238,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,6.69,38.21,1.105,5.055,0.01,4.085,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-239,2.16.2016,16-Feb-16,Myotis lucifugus,,F,A,7.78,37.89,1.93,5.285,0.08,4.405,,,,NY,,Williams Preserve,assumed adult
AG-MYLU-180,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,6.55,38.49,0.98,5.225,0.055,4.355,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-181,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,5.88,36.6,0.6,4.73,0.03,3.845,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-182,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,6.77,36.49,1.12,5.32,0,4.66,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-183,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,6.53,36.72,1.04,5.065,0.055,4.515,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-184,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,6.95,37.15,0.735,5.645,0.045,4.89,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-185,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,8.04,39.78,1.355,6.075,0.015,5.095,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-186,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,7.17,38.44,0.91,5.62,0.015,4.69,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-187,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,6.98,36.68,1.09,5.34,0.015,4.415,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-188,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,6.54,38.69,1.105,4.835,0.025,4.08,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-189,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,6.45,36.85,1.16,4.79,0.02,4.01,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-190,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,7.06,36.65,1.48,5.06,0.04,4.145,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-191,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,7.83,39.28,1.38,5.87,0.02,4.87,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-192,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,6.64,39.53,0.925,5.1,0.005,4.145,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-193,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,6.68,37.76,1.055,5.05,0.01,4.17,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-194,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,6.83,36.89,1.115,5.195,0.025,4.285,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-195,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,6.66,38.29,0.925,5.185,0.02,4.29,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-196,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,6.91,37.92,1.115,5.18,0.04,4.435,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-197,2.17.2016,17-Feb-16,Myotis lucifugus,,M,A,7.14,36.96,1.35,5.17,0,4.38,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-198,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,6.32,36.4,1.075,4.745,0.06,4.075,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-199,2.17.2016,17-Feb-16,Myotis lucifugus,,F,A,8.25,37.31,2.065,5.585,0.03,4.62,,,,NY,,Williams Hotel,assumed adult
AG-MYLU-60,3.4.2016,4-Mar-16,Myotis lucifugus,,M,A,6.51,38.48,0.53,5.145,0.04,4.275,,,,NY,,Barton Hill,assumed adult
AG-MYLU-61,3.4.2016,4-Mar-16,Myotis lucifugus,,F,A,6.73,37.6,1.095,4.755,0.105,3.555,,,,NY,,Barton Hill,assumed adult
AG-MYLU-62,3.4.2016,4-Mar-16,Myotis lucifugus,,F,A,6.56,37.84,0.755,4.78,0.025,3.57,,,,NY,,Barton Hill,assumed adult
