Species,band colour (left FA),band colour (right FA),band number,Genetic sample number,DS I.D.,Bat_ID,recap?,Capture_date,Date banded,Year banded,Capture time,Location,spec. location,"if recap, where originally captured?",Roost:,foraging? ,Sex,Age,repro cond.,description of male epididymes (ratio of flesh colour [percent of stored sperm left]),weight,dig(0)/spr(1),forearm 1,forearm 2,forearm 3,forearm avg,toothclass,Epiphyseal Gap,Parasites? ,parasites collected?,parasite comments:,ticks? SEE SEPARATE FILE FOR MORE ACCURATE 2002 TICK DATA,how many ticks,other Eps?,DNA taken?,Hair sampled?,Fecal sample?,Transmitter #/freq,Trans.Mass,Trans+Bat mass,Release Location:,date transm removed,Data Card?,Ear Length,Tragus Length,Thumb,Foot,Keel,WNS swab,Captured flying into or out of cave,Photo,Comments:,,,,
MYLU,,,,,,100914-19,,14-Sep-10,,,22:36,Lane Lake-Pine Lake,,,,yes,M,YOY,nonreproductive,,8.6,0,NA,,,,,,,,,,,,,,,,,,,,,13,8,,,,,,,,,,,
MYLU,,,,,,100914-20,,14-Sep-10,,,22:39,Lane Lake-Pine Lake,,,,yes,M,ADULT,not recorded,,8.6,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100914-21,,14-Sep-10,,,22:41,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm,not estimated,10.4,0,37.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100914-22,,14-Sep-10,,,22:41,Lane Lake-Pine Lake,,,,yes,F,YOY,nonreproductive,,8.8,0,38.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSE,,,,,,100914-23,,14-Sep-10,,,22:45,Lane Lake-Pine Lake,,,,yes,M,ADULT,no stored sperm,0    ,8.1,0,36.66,,,,,,,,,,,,,,,,,,,,,17,10,,7c,,,,,,,,,
MYLU,,,,,,100914-24,,14-Sep-10,,,20:35,Lane Lake-Pine Lake,,,,yes,M,YOY,nonreproductive,,7.5,0,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSE,,,,,,100914-25,,14-Sep-10,,,20:35,Lane Lake-Pine Lake,,,,yes,F,YOY,nonreproductive,,5.3,0,35.95,,,,,,,,,,,,,,,,,,,,,14.5,9.5,,,,,,,,,,,
MYSE,,,,,,100914-26,,14-Sep-10,,,22:51,Lane Lake-Pine Lake,,,,yes,F,ADULT,Post-lactating,,8.9,0,38.12,,,,,,,,,,,,y,,,,,,,,,16,9.5,,,,,,,,,,,
MYLU,,,,,,100914-27,,14-Sep-10,,,22:15,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm,not estimated,10.1,0,39.35,,,,,,,,,,,,,,,,,,,,,13,8,,,,,,,,,,,
MYLU,,,,,,100914-28,,14-Sep-10,,,23:00,Lane Lake-Pine Lake,,,,yes,F,YOY,nonreproductive,,7.7,0,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100914-29,,14-Sep-10,,,23:00,Lane Lake-Pine Lake,,,,yes,F,YOY,nonreproductive,,9.2,0,37.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSE,,,,,,100914-30,,14-Sep-10,,,22:49,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm,not estimated,9.9,0,37.84,,,,,,,,,,,,,,,,,,,,,16.5,9.75,,,,,,,,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,F,YOY,,,NA,,,,,,,,lots of ectoparasites,,,,,,,,,,,,,,,,,,,,,,,roosting alone,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,Stored sperm, 1/2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosting alone,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,F,YOY,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosting alone,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,Stored sperm,100    ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosting in cluster of 2,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,Stored sperm, 4/5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosting in cluster of 2,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,no stored sperm,0    ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosting alone,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,Stored sperm, 3/4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosting alone,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,no stored sperm,0    ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosting alone,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,YOY,nonreproductive,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,not assigned,,15-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,YOY,nonreproductive,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSE,,,,,,100916-01,,16-Sep-10,,,21:39,Little Buffalo Territorial Park Trail,,,,yes,M,ADULT,no stored sperm,0    ,8,0,36.55,,,,,,,,,,,,y,,,,,,,,,15,8,,8c,1 pseudokeel,y,n/a,,captured at 1.5 degrees Celcius,,,,
MYLU,,,,,,100917-01,,17-Sep-10,,,21:40,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 7/8,11,0,38.2,,,,,,,,,,,,,,,,,,,,,13,6.5,6c,7c,,y,in,,,,,,
MYLU,,,,,,100917-02,,17-Sep-10,,,21:03,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 7/8,10.3,0,38.3,,,,3,,,,,,,,,,,,,,,,,14,7,5.5c,7c,,y,in,,,,,,
MYLU,,,,,,100917-03,,17-Sep-10,,,20:54,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 2/3,9.7,0,39.4,,,,,,yes - ear mites,,,,,,,,,,,,,,,12.5,7,7c,8c,,y,in,,lots of ear mites,,,,
MYLU,,,,,,100917-04,,17-Sep-10,,,21:15,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 1/2,10.1,0,38.4,,,,,,,,,,,,,,,,,,,,,12,7,6.5c,8c,,y,out,,,,,,
MYLU,,,,,,100917-05,,17-Sep-10,,,21:20,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 2/3,10.1,0,37.45,,,,,,,,,,,,y,,,,,,,,,14,7.5,7c,7c,,y,out,,,,,,
MYSE,,,,,,100917-06,,17-Sep-10,,,21:30,Little Buffalo Hibernaculum,,,entering or exiting cave,,F,ADULT,Post-lactating,,9.5,0,38.99,,,,,,,,,,,,y,,,,,,,,,16,9,6c,7.5c,,y,in,,,,,,
MYLU,,,,,,100917-07,,17-Sep-10,,,22:00,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,no stored sperm,0    ,9.3,0,39.07,,,,,,,,,,,,y,,,,,,,,,13,7,,,,y,out,,,,,,
MYLU,,,,,,100917-08,,17-Sep-10,,,23:23,Little Buffalo Hibernaculum,,,,yes,M,ADULT,Stored sperm, 2/3,9.8,0,38.88,,,,,,,,,,,,y,,,,,,,,,12,7,,,,n,n/a,,,,,,
MYLU,,,,,,100917-09,,17-Sep-10,,,23:21,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 7/8,10.3,0,37.9,,,,,,,,,,,,y,,,,,,,,,12,7,,,,n,in,,,,,,
MYLU,,,,,,100917-10,,17-Sep-10,,,23:40,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 1/2,10.8,0,40.28,,,,,,,,,,,,n,,,,,,,,,14,7,,,,n,in,,,,,,
MYLU,,,,,,100917-11,,17-Sep-10,,,23:57,Little Buffalo Hibernaculum,,,entering or exiting cave,,F,ADULT,Post-lactating,,10.1,0,39.43,,,,,,,,,,,,y,,,,,,,,,12.5,7,,,,n,out,,yellow poop!,,,,
MYLU,,,,,,100917-12,,17-Sep-10,,,23:05,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,YOY,nonreproductive,,9.3,0,39.9,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,100917-13,,17-Sep-10,,,22:56,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,YOY,nonreproductive,,8.2,0,36.94,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,100917-14,,17-Sep-10,,,22:37,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 3/4,11.5,0,39.33,,,,,,,,,,,,n,,,,,,,,,13,7,,,,n,in,,lots of poop!,,,,
MYLU,,,,,,100917-15,,17-Sep-10,,,22:30,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,no stored sperm,0    ,9.2,0,36.87,,,,,,,,,,,,n,,,,,,,,,12,7.5,,,,n,in,,toes full of mud,,,,
EPFU,,,,,,100917-16,,17-Sep-10,,,22:25,Little Buffalo Hibernaculum,,,entering or exiting cave,,F,ADULT,Post-lactating,,30.8,0,48.6,,,,,,,,,,,,y,,,,,,,,,,,,,,y,in,,,,,,
MYLU,,,,,,100917-17,,17-Sep-10,,,0:22,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 3/4,9.5,0,38.5,,,,,,,,,,,,n,,,,,,,,,13.5,8,,,,n,in,,,,,,
MYLU,,,,,,100917-18,,17-Sep-10,,,0:10,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,YOY,nonreproductive,,11.3,0,38.78,,,,,,,,,,,,n,,,,,,,,,13,7.5,,,,n,in,,epiphyseal gap visible but joint spherical,,,,
MYLU,,,,,,100917-19,,17-Sep-10,,,0:13,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,YOY,nonreproductive,,8.2,0,39.3,,,,,,,,,,,,n,,,,,,,,,,,,,,n,out,,,,,,
MYLU,,,,,,100917-20,,17-Sep-10,,,1:18,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 3/4,9.3,0,36,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,100917-21,,17-Sep-10,,,2:00,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm,0    ,10.5,0,36.85,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,100917-22,,17-Sep-10,,,0:50,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 1/2,10.2,0,38.45,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,100917-23,,17-Sep-10,,,1:20,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,YOY,nonreproductive,,9.2,0,38.8,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,100917-24,,17-Sep-10,,,1:22,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 1/8,10.2,0,39.1,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,100917-25,,17-Sep-10,,,2:30,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 2/3,10.4*,0,38.7,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,swollen penis,,,,
MYLU,,,,,,100917-26,,17-Sep-10,,,2:30,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 7/8,12.2*,0,37.02,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,100917-27,,17-Sep-10,,,2:30,Little Buffalo Hibernaculum,,,entering or exiting cave,,M,ADULT,Stored sperm, 3/4,10.2*,0,36.95,,,,,,,,,,,,n,,,,,,,,,,,,,,n,in,,,,,,
MYLU,,,,,,Bat1,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,Stored sperm,,NA,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat2,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,Stored sperm,,NA,,39.49,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat3,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,38.12,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat4,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,39.17,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat5,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,39.49,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat6,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,37.82,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat7,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,38.49,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat8,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,no stored sperm,,NA,,35.33,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat9,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,37.67,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat10,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,39.18,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat11,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,39.05,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat12,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,38.53,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat13,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,36.91,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat14,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,38.15,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat15,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,YOY,nonreproductive,,NA,,38.41,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat16,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,37.39,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat17,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,39.32,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat18,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,38.22,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat19,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,37.08,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat20,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,F,YOY,nonreproductive,,NA,,39.74,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat21,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,38.03,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat22,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,38.46,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
MYLU,,,,,,Bat23,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,F,YOY,,,NA,,40.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat24,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,YOY,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat25,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat26,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat27,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat28,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat29,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat30,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat31,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,Bat32,,19-Sep-10,,,daytime collection,Little Buffalo Hibernaculum,,,taken from wall of cave,,M,ADULT,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
