Species,band colour (left FA),band colour (right FA),band number,Genetic sample number,DS I.D.,Bat_ID,recap?,Capture_date,Date banded,Year banded,Capture time,Location,spec. location,"if recap, where originally captured?",Roost:,foraging? ,Sex,Age,repro cond.,description of male epididymes (ratio of flesh colour [percent of stored sperm left]),weight,dig(0)/spr(1),forearm 1,forearm 2,forearm 3,forearm avg,toothclass,Epiphyseal Gap,Parasites? ,parasites collected?,parasite comments:,ticks? SEE SEPARATE FILE FOR MORE ACCURATE 2002 TICK DATA,how many ticks,other Eps?,DNA taken?,Hair sampled?,Fecal sample?,Transmitter #/freq,Trans.Mass,Trans+Bat mass,Release Location:,date transm removed,Data Card?,Ear Length,Tragus Length,Thumb,Foot,Keel,WNS swab,Captured flying into or out of cave,Photo,Comments:,,,,
MYLU,,,,,,100911-15,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm,100    ,11,0,36.77,,,,,,,,,,,,,,,,,,,,,11.5,7,,,,,,,,,,,
MYLU,,,,,,100911-16,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,YOY,nonreproductive,,13.2,0,39.78,,,,,,,,,,,,,,,,,,,,,12,6,,,,,,,,,,,
MYLU,,,,,,100911-17,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm, 1/3,10.3,0,38.8,,,,,,,,,,,,,,,,,,,,,12.5,6,,,,,,,cluster of 4: bat 1,,,,
MYLU,,,,,,100911-18,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm,100    ,9.7,0,36.8,,,,,,,,,,,,,,,,,,,,,12.5,6,,,,,,,cluster of 4: bat 2,,,,
MYLU,,,,,,100911-19,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm, 3/4,9.7,0,37.49,,,,,,,,,,,,,,,,,,,,,12.5,7,,,,,,,cluster of 4: bat 3,,,,
MYLU,,,,,,100911-20,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm,100    ,9.8,0,37.56,,,,,,,,,,,,,,yes - yellow!,,,,,,,13,7.5,,,,,,,cluster of 4: bat 4; yellow feces collected,,,,
MYLU,,,,,,100911-21,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm, 3/4,8.6,0,36.26,,,,,,,,,,,,,,,,,,,,,12.5,7.5,,,,,,,,,,,
MYLU,,,,,,100911-22,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm, 1/4,8.6,0,37.19,,,,,,,,,,,,,,,,,,,,,12,7,,,,,,,,,,,
MYLU,,,,,,100911-23,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm, 7/8,10.3,0,40.41,,,,,,yes - ear mites,,,,,,y,,,,,,,,,13,7,,,,,,,odd bone; ear mites,,,,
EPFU,,,,,,100911-24,,11-Sep-10,,,21:57,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm, 2/3,22.9,0,45.51,,,,,,,,,,,,y,,,,,,,,,,,,,,,out,photo taken of bat,yellow fat deposits in corners of mouth,,,,
MYLU,,,,,,100911-25,,11-Sep-10,,,21:05,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,not estimated,NA,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,out,,,,,,
EPFU,,,,,,100911-26,,11-Sep-10,,,22:10,WalkIn Cave,,,entering or exiting cave,,F,ADULT,Post-lactating,not estimated,26.4,0,46.82,,,,,,,,,,,,y,,,,,,,,,,,,,,,in,,swollen below genetals like she might have mated?; corners of jaw not yellow like other EPFUs,,,,
EPFU,,,,,,100911-27,,11-Sep-10,,,20:30,WalkIn Cave,,,entering or exiting cave,,F,YOY,nonreproductive,not estimated,18.6,0,46.52,,,,,,,,,,,,y,,,,,,,,,,,,,,,out,,,,,,
MYLU,,,,,,100911-28,,11-Sep-10,,,21:00,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,not estimated,NA,0,37.98,,,,,,,,,,,,,,,,,,,,,,,,,,,out,,,,,,
MYLU,,,,,,100911-29,,11-Sep-10,,,21:10,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,not estimated,NA,0,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,out,,,,,,
MYLU,,,,,,100911-30,,11-Sep-10,,,21:15,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,not estimated,NA,0,37.58,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,
MYLU,,,,,,100911-31,,11-Sep-10,,,21:15,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,not estimated,NA,0,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,out,,,,,,
MYLU,,,,,,100911-32,,11-Sep-10,,,21:05,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,100    ,NA,0,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,out,,,,,,
MYLU,,,,,,100911-33,,11-Sep-10,,,20:45,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,not estimated,NA,0,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,
MYLU,,,,,,100911-34,,11-Sep-10,,,20:45,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,100    ,NA,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,
MYLU,,,,,,100911-35,,11-Sep-10,,,20:50,WalkIn Cave,,,entering or exiting cave,,M,ADULT,Stored sperm,not estimated,NA,0,38.86,,,,,,,,,,,,,,,,,,,,,,,,,,,out,,,,,,
MYLU,,,,,,100911-36,,11-Sep-10,,,20:50,WalkIn Cave,,,entering or exiting cave,,F,YOY,nonreproductive,not estimated,NA,0,38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,out,,,,,,
MYLU,,,,,,100911-37,,11-Sep-10,,,23:00,WalkIn Cave,,,entering or exiting cave,,M,YOY,not recorded,not estimated,NA,0,37.19,,,,,,,,,,,,,,,,,,,,,,,,,,,not recorded,,,,,,
